ID Alumne,Nom,Edat,Alçada (m),Programació,Bases de Dades,Sistemes Operatius,Desenvolupament Web,Hores d'Estudi,Faltes d'Assistència,Grup
ALU-1149,Ainara Ribera,19,1.71,6.2,1.3,6.8,4.3,15.0,1,DAWB
ALU-1169,Máximo Fabra,22,1.71,5.8,5.4,7.8,9.3,6.0,0,DAMB
ALU-1046,Bernabé Lumbreras,19,1.84,6.2,7.5,4.4,7.4,13.0,11,DAMA
ALU-1223,Ciríaco Castelló,19,1.67,6.5,5.2,10.0,6.2,29.0,25,DAWA
ALU-1230,Cipriano Blanca,24,1.77,4.3,1.7,10.0,5.8,16.0,0,DAWB
ALU-1222,Noé Jordá,18,1.77,6.4,3.6,10.0,8.6,0.0,25,DAWB
ALU-1243,Eligia Rojas,19,1.63,5.9,9.8,10.0,7.4,23.0,7,DAWB
ALU-1119,Vicente Arnau,21,1.69,6.6,3.2,9.2,4.3,21.0,8,DAWA
ALU-1043,Máximo Villegas,32,1.7,6.0,1.3,2.7,4.3,16.0,1,DAMB
ALU-1058,Isidoro Barroso,18,1.71,6.0,4.7,10.0,10.0,26.0,14,DAMA
ALU-1136,Leyre Quevedo,21,1.67,7.8,4.1,9.5,7.9,21.0,3,DAWB
ALU-1091,Juan Carlos Castro,23,1.7,6.1,6.1,5.0,4.3,6.0,0,DAWB
ALU-1097,Eusebia Boix,20,1.63,7.0,8.2,4.7,4.5,25.0,0,DAMB
ALU-1210,Nacio Quintero,21,1.72,6.8,8.4,10.0,9.9,25.0,9,DAMB
ALU-1018,Cristian Carrión,20,1.75,6.9,1.0,5.4,6.9,16.0,10,DAMB
ALU-1167,Cipriano Alcántara,18,1.68,8.9,4.5,0.0,5.8,7.0,0,DAMA
ALU-1127,Bernardo Tejero,25,1.71,6.6,0.2,0.8,4.4,5.0,0,DAWA
ALU-1166,Calixto Vigil,19,1.73,7.4,9.5,6.9,7.3,21.0,15,DAMA
ALU-1164,Perlita Milla,18,1.78,7.9,,10.0,5.5,29.0,0,DAWA
ALU-1088,Ciríaco Palmer,25,1.72,5.4,1.6,10.0,8.5,13.0,0,DAWB
ALU-1155,Sosimo Rios,19,1.7,7.3,6.3,10.0,9.1,,1,DAWA
ALU-1041,Diana Donoso,20,1.76,8.1,3.3,10.0,6.0,19.0,25,DAMA
ALU-1096,Sigfrido Malo,21,1.83,6.3,6.1,3.9,5.7,10.0,2,DAWB
ALU-1205,Marcos Roldán,18,1.82,,7.4,8.3,7.4,14.0,0,DAMA
ALU-1235,Teobaldo Marín,23,1.77,6.6,2.5,4.2,3.9,13.0,5,DAMB
ALU-1016,Toni Tello,19,1.66,6.5,0.0,7.8,6.0,13.0,6,DAWA
ALU-1057,Obdulia Ramos,18,1.72,7.5,3.1,2.5,10.0,12.0,3,DAWA
ALU-1143,Hector Trujillo,19,1.68,6.6,1.9,10.0,7.8,11.0,3,DAWB
ALU-1019,Román Perea,19,1.76,6.0,9.4,5.5,8.2,16.0,25,DAMA
ALU-1064,Pelayo Arévalo,19,1.84,5.6,1.0,0.0,3.0,13.0,0,DAWB
ALU-1029,Irene Acevedo,18,1.72,7.8,5.9,10.0,8.2,26.0,2,DAMA
ALU-1011,Emelina Guerra,36,1.62,5.9,3.6,10.0,5.7,15.0,11,DAMA
ALU-1184,Eleuterio Diaz,19,1.8,8.9,2.1,3.3,8.8,19.0,0,DAWB
ALU-1085,Danilo Alberola,19,1.73,7.6,8.2,9.5,6.1,29.0,2,DAWA
ALU-1201,Fabio Trujillo,18,1.7,5.7,7.3,5.6,4.5,18.0,0,DAWA
ALU-1191,Bonifacio Llabrés,25,1.67,8.1,9.2,10.0,10.0,16.0,0,DAMB
ALU-1073,Apolinar Sarabia,24,1.71,6.9,5.2,8.3,6.4,15.0,13,DAWA
ALU-1141,Abel Maestre,19,1.76,8.1,4.9,10.0,5.7,20.0,0,DAMB
ALU-1217,Alfonso Enríquez,23,1.75,7.1,5.1,6.2,6.2,21.0,8,DAWB
ALU-1219,Ignacio Águila,25,1.7,7.0,7.1,10.0,10.0,29.0,0,DAMB
ALU-1196,Eduardo Armas,23,1.68,6.0,6.2,10.0,5.8,11.0,1,DAWB
ALU-1072,Godofredo Oliva,18,1.69,7.3,,10.0,4.1,23.0,24,DAMA
ALU-1084,Vidal España,19,1.79,6.3,6.3,3.2,6.2,13.0,0,DAWB
ALU-1238,Armando Huertas,22,1.67,5.9,2.4,10.0,7.7,1.0,0,DAWB
ALU-1211,Nando Segura,23,1.78,7.7,2.9,4.0,10.0,8.0,0,DAMA
ALU-1078,Ramona Bosch,19,1.81,7.5,5.1,6.4,10.0,9.0,25,DAWA
ALU-1048,Rafa Uría,21,1.62,6.4,5.2,10.0,3.5,24.0,0,DAMA
ALU-1114,Antonio Bayona,22,1.76,8.2,6.0,7.9,5.9,18.0,0,DAWB
ALU-1163,Marco Puerta,21,1.8,6.1,2.6,0.0,8.2,0.0,25,DAMA
ALU-1052,Eusebio Sánchez,44,1.61,7.0,0.0,6.5,4.1,15.0,10,DAMA
ALU-1108,Josep Arnaiz,19,1.77,7.6,5.2,10.0,5.1,18.0,0,DAWA
ALU-1120,Jose Manuel Mariño,24,1.74,7.4,8.9,10.0,10.0,18.0,0,DAMA
ALU-1128,Roque Calleja,18,1.77,5.0,4.3,1.3,5.4,3.0,0,DAWA
ALU-1021,Graciano Rosales,18,1.93,5.8,9.2,10.0,8.6,16.0,0,DAMA
ALU-1004,Vicente Montesinos,18,1.74,4.9,0.2,6.0,4.4,17.0,12,DAMB
ALU-1036,Héctor Calzada,19,1.71,8.6,6.6,6.5,6.6,11.0,0,DAWB
ALU-1106,Sigfrido Puerta,20,1.74,4.5,0.0,7.5,2.5,11.0,3,DAMA
ALU-1220,Elodia Cardona,22,1.73,7.2,7.0,7.7,5.4,20.0,0,DAWA
ALU-1074,Adelardo Guillen,23,1.59,6.8,10.0,10.0,6.6,28.0,3,DAMB
ALU-1045,Gustavo Andrade,22,1.69,7.2,0.0,10.0,4.5,13.0,0,DAMB
ALU-1038,Marco Cantero,23,1.72,7.6,5.4,7.4,6.9,11.0,0,DAWB
ALU-1012,Maximiano Reyes,25,1.73,6.9,3.3,7.9,6.8,12.0,8,DAWA
ALU-1242,Eladio Mercader,32,1.63,7.7,3.7,9.2,7.6,15.0,0,DAWB
ALU-1234,Mohamed Alcalde,18,1.72,6.7,5.1,6.3,5.7,14.0,0,DAMB
ALU-1056,Esteban Tejada,18,1.67,8.5,7.5,3.8,10.0,7.0,0,DAWA
ALU-1033,Teófilo Arnal,44,1.59,4.7,0.0,7.8,2.6,8.0,8,DAMA
ALU-1124,Marcos Castell,19,1.77,7.9,9.9,10.0,3.8,22.0,24,DAMB
ALU-1015,Demetrio Quintero,18,1.79,7.5,1.0,10.0,10.0,24.0,16,DAWA
ALU-1112,Felix Bayona,32,1.65,7.1,7.8,4.1,7.4,9.0,25,
ALU-1023,Dolores Sandoval,19,1.79,7.0,4.6,6.8,4.2,23.0,0,DAWA
ALU-1110,Amaro Guillen,19,1.77,7.4,5.2,10.0,8.5,24.0,16,DAMB
ALU-1206,Norberto Almagro,18,1.79,6.8,8.9,5.9,5.6,12.0,0,DAMB
ALU-1081,Juanita Román,22,1.73,7.8,10.0,10.0,10.0,17.0,9,DAWA
ALU-1009,Alcides Rivera,23,1.73,6.1,0.5,8.8,6.0,8.0,0,DAMA
ALU-1233,Rufino Campo,20,1.81,4.9,0.4,10.0,3.3,14.0,11,DAMB
ALU-1040,Pablo Barberá,18,1.7,10.1,5.4,9.7,6.9,4.0,5,DAWB
ALU-1087,Pepe Ródenas,22,1.74,5.2,,8.8,6.3,16.0,0,DAWB
ALU-1249,Benjamín Palomo,25,1.64,6.6,6.8,10.0,7.4,12.0,10,DAMA
ALU-1069,Tomás Ropero,29,1.66,6.1,4.8,10.0,8.0,18.0,19,DAWB
ALU-1094,Bárbara Pizarro,24,1.79,6.9,6.0,10.0,7.6,16.0,0,DAWA
ALU-1228,Óscar Calzada,25,1.79,6.7,6.5,9.8,5.0,23.0,0,DAMB
ALU-1130,Olegario Mora,20,1.74,5.1,3.8,4.4,2.1,9.0,0,DAWB
ALU-1240,Cristian Morell,44,1.71,7.9,10.0,5.5,10.0,7.0,25,DAWA
ALU-1076,Albano Caro,24,1.7,6.4,7.9,10.0,7.1,25.0,0,DAMA
ALU-1174,Horacio Garrido,22,1.72,7.3,9.7,9.5,10.0,20.0,13,DAWB
ALU-1010,Javier Pereira,18,1.74,6.5,7.3,8.5,9.6,13.0,7,DAWA
ALU-1183,Anita Teruel,25,1.74,7.5,2.8,10.0,3.5,22.0,0,DAWB
ALU-1133,Ricardo Redondo,19,1.76,8.7,10.0,10.0,6.7,18.0,1,DAMB
ALU-1195,Juan Pablo Pombo,19,1.7,6.6,7.7,5.8,9.3,16.0,0,DAMA
ALU-1006,Loreto Quesada,18,1.74,5.7,5.8,3.8,6.9,26.0,1,
ALU-1154,Alejo Reig,29,1.71,7.5,1.9,10.0,6.9,19.0,0,DAWB
ALU-1095,Olimpia Calleja,20,1.66,5.8,5.9,10.0,5.9,17.0,11,DAWB
ALU-1027,Armando Bernat,21,1.76,6.8,8.1,10.0,8.7,23.0,0,DAMB
ALU-1156,Trinidad Fajardo,23,1.69,8.0,6.1,10.0,2.9,19.0,4,DAWA
ALU-1035,Olga Vargas,24,1.63,8.4,8.1,8.7,8.5,10.0,11,DAWA
ALU-1116,Gabriela Morillo,24,1.71,7.3,3.8,9.1,6.1,10.0,0,DAWA
ALU-1126,Tadeo Hernández,24,1.78,8.2,8.8,7.4,10.0,12.0,0,DAWB
ALU-1099,Goyo Bustos,18,1.76,6.6,6.0,7.6,5.7,3.0,0,DAMA
ALU-1077,Nacio Oliva,18,1.67,7.8,3.3,2.3,6.4,15.0,0,DAWA
ALU-1171,Tito Ferrando,18,1.69,8.5,7.8,10.0,7.9,28.0,3,DAMA
ALU-1239,Marcio Pino,18,1.77,8.8,7.3,3.4,10.0,14.0,0,DAWB
ALU-1112,Felix Bayona,32,1.65,7.1,7.8,4.1,7.4,9.0,25,DAWB
ALU-1121,Cirino Duarte,25,1.7,6.6,1.9,9.1,5.0,11.0,16,DAWB
ALU-1173,Ciriaco Abellán,19,1.81,6.9,,10.0,2.1,15.0,12,DAWA
ALU-1008,Estefanía Tur,22,1.68,7.4,6.1,5.5,6.2,3.0,0,DAMB
ALU-1080,Eligio Olivé,25,1.69,7.1,3.1,4.3,4.1,11.0,4,DAMA
ALU-1186,Eligio Rocamora,24,1.82,8.6,5.9,10.0,10.0,26.0,22,DAWA
ALU-1039,Samu Cobos,20,1.67,7.3,6.2,4.4,8.1,0.0,12,DAMB
ALU-1180,Lorenzo Mateu,19,1.73,7.5,7.2,6.2,6.8,15.0,0,DAMB
ALU-1014,Mauricio Contreras,18,1.79,6.0,2.1,6.3,5.7,4.0,9,DAMA
ALU-1025,Salvador Cifuentes,24,1.75,7.2,6.2,10.0,5.5,19.0,15,DAMA
ALU-1065,Marc Cabrero,21,1.78,7.6,8.5,8.3,8.1,9.0,0,DAWA
ALU-1209,Adán Vega,18,1.8,6.9,5.3,1.7,8.7,3.0,23,DAMA
ALU-1203,Primitivo Pons,25,1.74,8.7,7.6,7.1,10.0,24.0,3,DAMB
ALU-1229,Pedro Pol,22,1.73,8.5,6.5,9.7,7.0,18.0,0,DAMB
ALU-1060,Adán Caparrós,19,1.82,6.1,2.5,7.7,7.5,9.0,2,DAWB
ALU-1148,Heriberto Hernández,18,1.69,6.5,9.2,6.5,8.0,20.0,0,DAWA
ALU-1181,Álvaro Maza,18,1.69,7.2,10.0,5.7,10.0,21.0,0,DAWB
ALU-1034,Rosalva Aragón,36,1.71,5.5,0.0,10.0,4.0,19.0,19,DAMB
ALU-1159,Florencio Nuñez,23,1.65,6.0,10.0,8.7,10.0,0.0,0,DAWA
ALU-1177,Primitivo Vélez,19,1.71,7.1,3.8,7.6,10.0,16.0,0,DAWB
ALU-1093,Carlos Posada,21,1.76,5.3,0.0,4.6,0.7,1.0,0,DAMA
ALU-1060,Adán Caparrós,19,1.82,6.1,2.5,7.7,7.5,9.0,2,
ALU-1189,Roque Cabo,19,1.74,6.9,5.5,10.0,9.3,8.0,0,DAWA
ALU-1082,Eleuterio Valenzuela,19,1.8,5.3,5.9,10.0,8.4,16.0,0,DAMB
ALU-1063,Vinicio Sarmiento,19,1.78,8.9,2.2,10.0,5.9,21.0,10,DAWB
ALU-1248,Rodrigo Quintana,36,1.76,6.8,1.7,5.4,4.6,7.0,12,DAMA
ALU-1144,Flavia Comas,19,1.73,7.6,2.3,6.5,4.2,12.0,14,DAMA
ALU-1236,Rafa Berenguer,19,1.76,5.6,7.5,2.4,9.8,8.0,25,DAMB
ALU-1013,Belen Barba,19,1.76,8.0,8.7,6.5,10.0,16.0,7,DAMB
ALU-1168,Amado Arranz,18,1.73,6.2,1.9,6.2,5.5,17.0,20,DAWA
ALU-1044,Joan Mascaró,19,1.73,5.4,5.0,5.8,9.2,6.0,0,DAMA
ALU-1089,Mateo Llabrés,20,1.7,7.0,4.2,9.4,9.6,14.0,0,DAWB
ALU-1031,Pastor Moll,18,1.74,6.4,4.3,10.0,7.0,3.0,0,DAWA
ALU-1067,Cipriano Macias,24,1.69,6.5,10.0,3.4,7.0,16.0,23,DAWB
ALU-1138,Bernardino Bermúdez,19,1.79,7.2,9.8,1.8,5.1,3.0,0,DAMA
ALU-1182,Estrella Agudo,32,1.69,6.2,3.8,8.5,6.1,21.0,0,DAWB
ALU-1207,Dalila Terrón,22,1.7,6.7,6.7,8.3,7.9,13.0,0,DAWB
ALU-1216,Camilo Belmonte,19,1.71,9.6,7.3,10.0,9.6,26.0,0,DAWB
ALU-1135,Chuy Herrero,19,1.83,6.8,3.7,7.7,3.5,4.0,0,DAMB
ALU-1002,Martin Palacios,23,1.7,7.4,4.1,6.4,8.0,5.0,10,DAWB
ALU-1225,María Maza,19,1.79,6.5,9.3,10.0,6.4,2.0,7,DAWA
ALU-1247,Josué Conesa,36,1.68,7.7,3.9,10.0,9.2,20.0,0,DAWB
ALU-1221,Dionisio Lobato,21,1.75,6.9,10.0,6.2,10.0,11.0,3,DAMB
